Source,Target,Weight
イオン福島（認定時：福島サティ）,メガネの相沢福島南矢野目店（認定時：メガネの相沢福島店）,0.19888469114505455
イオン福島（認定時：福島サティ）,ザ・ビッグ鎌田店,2.5571667255479915
マックスバリュ大森店,みずほ銀行福島支店,1.997372143098726
ヨークベニマル片平店,ヨークベニマル方八町店,7.151658580386482
ヨークベニマル勿来江栗店,カインズホーム北茨城店,6.824573818441718
ヨークベニマル勿来江栗店,ヨークベニマル内郷店,16.607018324914257
ヨークベニマル好間店,ヨークベニマル内郷店,0.9052346205698143
ヨークベニマル内郷店,ヨークベニマル上荒川店,2.4512880336764282
カスミ常澄店,ヨークベニマル大成店,3.5878144572668003
カスミ常澄店,ヨークベニマル水戸浜田店,4.64900668521937
カインズホーム北茨城店,エスコート磯原,4.420384445968159
カインズホーム日立店,カインズホーム日立店,0.0
カインズホーム日立店,カスミ鮎川店,8.173387211528318
カインズホーム日立店,カスミ馬渡店,8.34860090651582
カスミ千代田店,カスミピアシティ石岡中央店,6.869442383469609
カスミ千代田店,カスミ荒川本郷,11.982068902036595
カインズホームスーパーセンター結城店,ヨークベニマル結城四ツ京店,1.5322193839781766
カインズホームスーパーセンター結城店,ジャスコ小山店,3.1611990283618505
カスミみらい平駅前店,取手市立取手ウェルネスプラザ,8.675689166191244
カスミ大洋店,カインズホーム玉造店,19.46528261526933
ヨークベニマル板東店,杉戸町ふれあいセンター エコ・スポいずみ,11.692274362601312
カスミ岩間店,ヨークベニマル友部東平店,6.397000146639843
カスミ岩間店,カスミ笠間店,8.054651606164747
カスミ岩間店,カスミピアシティ石岡中央店,8.875126043060371
ヨークベニマル石岡店,カスミピアシティ石岡中央店,2.4201481464007295
ヨークベニマル石岡店,カスミ小川店,5.527073437473563
カスミ荒川本郷,ヨークベニマルひたち野うしく店,2.630697611940627
カスミ小川店,カインズホーム玉造店,9.080655716216507
カスミ瓜連店,カスミ佐和店,11.045784514653711
